"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1794309459336151303","Tue May 28 00:05:16 +0000 2024","0","@rutosgirl_ @treasuremenfess Aku Cikampek","1795244915078918234","","rutosgirl_","in","Bandar Lampung, Lampung","0","1","0","https://x.com/na_kentrosaurus/status/1795244915078918234","2914767883","na_kentrosaurus"
"1795081749266890827","Mon May 27 23:57:45 +0000 2024","0","@_joni_joni_joni Yeke @dundidandel ?","1795243024395747452","","_joni_joni_joni","in","Selangor","0","1","0","https://x.com/Afifyunus74/status/1795243024395747452","401519936","Afifyunus74"
"1794592812673241299","Mon May 27 23:54:30 +0000 2024","0","@nekocat162 @giselavalorie Jati diri apa yang di dapet kalo kelakuannya kaya gini? Gangster wattpad? Anak orang kaya AU? Apa anjir. Heran","1795242206334271915","","nekocat162","in","semesta","0","0","0","https://x.com/guwrawr/status/1795242206334271915","1191660191734878208","guwrawr"
"1795236837822271872","Mon May 27 23:52:34 +0000 2024","0","@kuciiisr WKWKW","1795241720441168240","","kuciiisr","in","Indonesia","0","0","0","https://x.com/wuffchoco/status/1795241720441168240","1098906653578059777","wuffchoco"
"1794591835488453065","Mon May 27 19:29:34 +0000 2024","0","@OposisiCerdas Makin bajingan ni oramg kenapa monyet satu ini benci sekali dgn Anies??","1795175533065470233","","OposisiCerdas","in","Kota Tangerang, Banten","0","0","0","https://x.com/pipsstore/status/1795175533065470233","1692852572288327680","pipsstore"
"1794968860514521538","Mon May 27 19:26:04 +0000 2024","2","@DedynurPalakka @psi_id Lu DONGO sadar ga sih nyet?? Partai penjilat diangkat-angkat sedemikian rupa dgn persepsi lu sendiri!","1795174650499973364","","DedynurPalakka","in","Kota Tangerang, Banten","0","0","0","https://x.com/pipsstore/status/1795174650499973364","1692852572288327680","pipsstore"
"1795017082180182269","Mon May 27 19:23:04 +0000 2024","17","@poupaurin gws ciiing","1795173899337941426","","poupaurin","in","","0","1","0","https://x.com/pip_yourbae/status/1795173899337941426","1343601089304698881","pip_yourbae"
"1795126317630796211","Mon May 27 19:16:59 +0000 2024","0","@adnovanto BENERAN KE IRA TAH WKWKWKKWK","1795172367003471879","","adnovanto","in","0525","0","1","0","https://x.com/sekuissy/status/1795172367003471879","1316963190152994816","sekuissy"
"1795170894291112208","Mon May 27 19:11:08 +0000 2024","0","yuta surfing content https://t.co/cg2yFzLeW6","1795170894291112208","https://pbs.twimg.com/tweet_video_thumb/GOm6aW-aAAERt30.jpg","","in","22 | 🇲🇽 | they/them ","0","0","0","https://x.com/_4MNESIA_/status/1795170894291112208","1675545752360321024","_4MNESIA_"
"1795092464979653037","Mon May 27 19:02:54 +0000 2024","1","@TraderVittah @Honest_Men_ Pesa umemake na hizo pips","1795168824020382091","","TraderVittah","in","Nairobi,  Kenya ","0","1","0","https://x.com/_Mwaley/status/1795168824020382091","3436457163","_Mwaley"
